source_url,source_title,date_checked,status,confidence,notes
https://www.eurohpc-ju.europa.eu/ai-factories_en,EuroHPC AI Factories,2026-06-17,confirmed_public,high,"AI Factories overview and network count/context."
https://www.eurohpc-ju.europa.eu/ai-factories/ai-factories-access-modes_en,AI Factories Access Modes,2026-06-17,confirmed_public,high,"Industrial Innovation, AI for Science, and collaborative access mode overview."
https://www.eurohpc-ju.europa.eu/playground-access-ai-factories_en,Playground Access to AI factories,2026-06-17,confirmed_public,high,"Entry-level AI Factory access for industry users/startups/SMEs."
https://www.eurohpc-ju.europa.eu/fast-lane-access-ai-factories_en,Fast Lane Access to AI factories,2026-06-17,confirmed_public,high,"AI Factory access up to 50000 GPU hours."
https://www.eurohpc-ju.europa.eu/large-scale-access-ai-factories_en,Large Scale Access to AI factories,2026-06-17,confirmed_public,high,"AI Factory access above 50000 GPU hours."
https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,high,"Helpdesk topics include access, services, and named AI Factories."
https://www.eurohpc-ju.europa.eu/supercomputers/supercomputers-access-calls_en,Supercomputers Access Calls,2026-06-17,confirmed_public,high,"Regular, Extreme Scale, Benchmark, Development, and AI for Science call listing."
https://www.eurohpc-ju.europa.eu/supercomputers/supercomputers-access-policy-and-faq_en,Supercomputers Access Policy and FAQ,2026-06-17,confirmed_public,high,"Eligibility, how to apply, cost, and general participation conditions."
https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-ai-science-and-collaborative-eu-projects_en,AI for Science and Collaborative EU Projects,2026-06-17,confirmed_public,high,"Scientific, public-sector, and EU collaborative project access."
https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-benchmark-access_en,Benchmark Access,2026-06-17,confirmed_public,high,"Benchmark/scaling access before Regular or Extreme Scale."
https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-development-access_en,Development Access,2026-06-17,confirmed_public,high,"Code, algorithm, and AI method development access."
https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-regular-access-mode_en,Regular Access Mode,2026-06-17,confirmed_public,high,"Scientific, Industry, and Public Administration tracks."
https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-extreme-scale-access-mode_en,Extreme Scale Access Mode,2026-06-17,confirmed_public,high,"Very large allocations for science, industry, and public sector."
https://www.eurohpc-ju.europa.eu/ai-factories/italy_en,EuroHPC AI Factories - Italy,2026-06-17,confirmed_public,high,"EuroHPC Italy page for IT4LIA services and infrastructure."
https://it4lia-aifactory.eu/,IT4LIA AI Factory,2026-06-17,confirmed_public,high,"IT4LIA homepage."
https://it4lia-aifactory.eu/what-we-can-do-for-you/,IT4LIA What We Can Do For You,2026-06-17,confirmed_public,high,"TRY, Medium, and Large packages."
https://it4lia-aifactory.eu/faq/,IT4LIA FAQ,2026-06-17,confirmed_public,high,"Eligible users, no-cost access, package structure, and EuroHPC support note."
https://it4lia-aifactory.eu/contact-us/,IT4LIA Contact Us,2026-06-17,confirmed_public,high,"Public contact emails and address."
https://it4lia-aifactory.eu/about-it4lia/hpc-technological-infrastructure/,IT4LIA HPC technological infrastructure,2026-06-17,confirmed_public,high,"Leonardo, LISA, GAIA, MEGARIDE, and new IT4LIA system."
